id,division,district,highest_dispo_charge,last_event_result,number,highest_charge,highest_charge_mod,complaint_year,next_pending_event,offense_date,sentencing,final_disposition,unit,event_of_final_dispo,drug,drug_patient,drug_res,full,incar,incar_county,incar_life,incar_prison,incar_local,prob,prob_formal,prob_sum,prog,prog_child,prog_dv,work,work_furl,work_pub,work_vol
1,Superior Court,Central,VC23153(b),Evidentiary Hearing (Probation) - Admits - Revoked- Reinstated,CD218681,VC23153(a),alcohol,2009.0,,2008-04-03 00:00:00.000000,Local Custody: 270 Days - Probation Formal: 5 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,270,,,,270,1825,1825,,,,,,,,
2,Superior Court,Central,PC187(a),Felony Appeal by the Defense - Remittitur Issued (see note),CD218851,PC187(a),,2009.0,,2009-02-07 00:00:00.000000,Life: 20 Years,"Found Guilty, Felony",Superior Court,Felony Jury Trial,,,,,7300,,7300,,,,,,,,,,,,
3,Superior Court,Central,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CD219041,VC20001(a),,2009.0,,2009-01-12 00:00:00.000000,Local Custody: 120 Days - Probation Formal: 3 Years - Volunteer Work Service: 200 Hours,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,120,,,,120,1095,1095,,,,,8.333333333333334,,,8.333333333333334
4,Superior Court,Central,VC20002(a),Further Proceedings - Action Taken,CD219048,VC20001(a),,2009.0,,2009-02-07 00:00:00.000000,Probation Summary: 3 Years,Pled Guilty Misdemeanor - Immediate Sentencing,Superior Court,Felony Readiness Conference,,,,,,,,,,1095,,1095,,,,,,,
5,Superior Court,Central,VC20001(a),Sentencing Hearing  - Probation Granted Summary,CD219101,VC20001(a),,2009.0,,2008-03-09 00:00:00.000000,Probation Summary: 3 Years,Pled Guilty Felony,Pre-Trial,Preliminary Exam Readiness,,,,,,,,,,1095,,1095,,,,,,,
6,Superior Court,Central,PC211,Sentencing Hearing  - State Prison,CD219388,PC211,,2009.0,,2009-01-29 00:00:00.000000,State Prison: 2 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,730,,,730,,,,,,,,,,,
7,Superior Court,Central,VC20001(a),Felony Other Motion Hearing - Granted,CD219660,VC20001(a),,2009.0,,2008-12-15 00:00:00.000000,Probation Summary: 3 Years,Pled Guilty Misdemeanor - Immediate Sentencing,Superior Court,Felony Readiness Conference,,,,,,,,,,1095,,1095,,,,,,,
8,Superior Court,Central,"VC23153(a), alcohol",Further Proceedings - Action Taken,CD220506,VC20001(a),,2009.0,,2009-02-09 00:00:00.000000,Local Custody: 270 Days - Probation Formal: 5 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,270,,,,270,1825,1825,,,,,,,,
9,Superior Court,Central,,Affidavit Filed - Warrant Issued,CD220622,VC20001(a),,2009.0,,2008-04-04 00:00:00.000000,,,Pre-Trial,,,,,,,,,,,,,,,,,,,,
10,Superior Court,Central,"PC245(a)(1), deadly w",Probation Modification Hearing - Granted,CD220921,PC245(a)(1),deadly w,2009.0,,2009-05-25 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,180,,,,180,1095,1095,,,,,,,,
